,,,,,Turns,,,,,,,,,,,,,,,,
10,5,10,9,0,22,0,63,12,1,100,12,2,63,0,3,43,21,4,53,5, 
10,5,10,9,0,16,0,63,25,1,52,13,2,100,4,3,66,29,4,29,5, 
10,5,10,8,0,17,0,72,2,1,29,11,2,100,13,3,38,0,4,43,21, 
10,5,10,7,0,30,0,99,31,1,69,15,2,99,30,3,100,45,4,99,7, 
10,5,10,8,0,33,0,32,5,1,51,15,2,100,18,3,30,0,4,78,11, 
10,5,10,8,0,20,0,54,7,1,100,22,2,34,16,3,54,10,4,96,7, 
10,5,10,8,0,29,0,100,9,1,35,7,2,22,5,3,45,1,4,99,10, 
10,5,10,8,0,19,0,77,44,1,12,0,2,100,14,3,21,1,4,38,12, 
10,5,10,8,0,22,0,51,18,1,100,6,2,32,0,3,99,47,4,77,16, 
10,5,10,8,0,30,0,100,17,1,17,3,2,15,28,3,62,5,4,20,20, 
10,5,10,8,0,14,0,100,15,1,78,10,2,46,5,3,33,0,4,57,0, 
10,5,10,7,0,29,0,51,21,1,100,5,2,98,13,3,86,27,4,99,62, 
10,5,10,8,0,20,0,78,5,1,100,29,2,26,5,3,26,17,4,5,0, 
10,5,10,8,0,21,0,79,19,1,100,38,2,98,17,3,13,0,4,13,0, 
10,5,10,8,0,30,0,14,0,1,56,3,2,100,23,3,77,6,4,99,13, 
10,5,10,8,0,23,0,70,10,1,25,5,2,82,18,3,98,5,4,100,18, 
10,5,10,8,0,18,0,51,0,1,20,0,2,31,0,3,73,0,4,100,1, 
10,5,10,9,0,33,0,74,48,1,97,25,2,97,65,3,97,18,4,100,37, 
10,5,10,7,0,33,0,98,33,1,99,22,2,100,20,3,99,26,4,66,7, 
10,5,10,7,0,20,0,100,39,1,47,5,2,40,28,3,40,0,4,19,2, 
10,5,10,8,0,32,0,29,0,1,99,11,2,100,26,3,69,56,4,73,31, 
10,5,10,9,0,19,0,79,23,1,43,5,2,100,5,3,39,10,4,53,26, 
10,5,10,9,0,15,0,100,27,1,51,17,2,55,5,3,2,0,4,27,13, 
10,5,10,9,0,26,0,46,7,1,78,10,2,66,22,3,100,25,4,40,15, 
10,5,10,8,0,20,0,100,10,1,49,20,2,43,5,3,75,16,4,65,41, 
