,,,,,Turns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,54,0,85,9,1,100,1,2,79,39,3,43,1,4,54,4, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,40,0,19,2,1,100,22,2,95,13,3,92,23,4,45,5, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,38,0,55,3,1,65,7,2,96,9,3,100,17,4,71,6, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,59,0,97,9,1,88,16,2,99,27,3,100,16,4,99,29, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,43,0,72,28,1,93,15,2,88,24,3,79,17,4,100,54, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,7,0,44,0,72,59,1,78,33,2,100,41,3,71,29,4,83,27, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,7,1,53,0,99,63,1,78,34,2,94,27,3,100,40,4,89,26, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,9,0,50,0,100,13,1,92,22,2,78,9,3,98,37,4,74,3, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,13,0,37,0,56,22,1,100,20,2,56,15,3,94,26,4,69,16, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,30,0,38,0,75,14,1,100,35,2,45,8,3,32,4,4,32,4, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,12,0,44,0,70,41,1,62,33,2,100,46,3,94,41,4,99,33, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,17,0,49,0,71,32,1,76,11,2,42,12,3,100,48,4,75,16, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,11,0,41,0,80,22,1,100,16,2,82,20,3,91,12,4,95,17, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,40,0,68,12,1,55,12,2,51,17,3,100,10,4,37,6, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,9,0,36,0,100,22,1,46,5,2,86,22,3,94,22,4,82,14, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,9,0,37,0,74,14,1,100,13,2,67,27,3,76,18,4,67,22, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,25,0,59,29,1,61,29,2,33,26,3,100,23,4,58,22, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,13,0,45,0,100,29,1,99,22,2,76,39,3,45,25,4,72,30, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,39,0,72,22,1,79,15,2,100,24,3,86,14,4,51,3, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,10,0,37,0,51,16,1,61,32,2,51,18,3,100,27,4,37,30, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,39,0,95,10,1,100,20,2,88,11,3,71,7,4,99,4, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,35,0,59,13,1,44,8,2,67,6,3,100,15,4,89,18, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,9,0,42,0,75,43,1,68,18,2,59,19,3,52,10,4,100,40, ,,,,,,,,,,,,,,,,,,,,,
