mapLength,numberOfPlayers,diceMax,timeToBuildGame,timeToFinishGame,numberOfTurnsByPlayer,numberOfTurns,player1id,player1Pos,player1Coins,,,,,,,,,,,,,
10,5,6,9,0,27,135,0,9,0,1,62,25,2,44,12,3,35,0,4,100,28, 
10,5,6,8,1,39,191,0,100,19,1,81,11,2,60,24,3,79,21,4,99,24, 
10,5,6,9,0,34,166,0,100,8,1,65,22,2,92,25,3,59,22,4,93,11, 
10,5,6,9,0,33,163,0,93,20,1,99,47,2,100,15,3,71,20,4,81,23, 
10,5,6,9,0,32,159,0,22,9,1,82,12,2,64,19,3,100,5,4,75,27, 
10,5,6,9,0,28,136,0,100,18,1,35,0,2,62,25,3,32,11,4,43,9, 
10,5,6,7,0,33,162,0,84,10,1,100,10,2,70,13,3,47,15,4,74,16, 
10,5,6,9,0,39,191,0,100,15,1,54,27,2,37,5,3,56,7,4,47,30, 
10,5,6,10,0,36,176,0,100,25,1,95,6,2,62,18,3,31,15,4,68,7, 
10,5,6,9,0,35,175,0,98,20,1,81,20,2,69,25,3,80,11,4,100,10, 
10,5,6,9,0,40,199,0,65,10,1,69,14,2,62,10,3,100,31,4,77,15, 
10,5,6,15,1,33,161,0,100,18,1,54,15,2,98,11,3,78,5,4,76,11, 
10,5,6,9,0,29,142,0,29,10,1,100,7,2,60,9,3,79,7,4,57,20, 
10,5,6,8,0,25,125,0,31,8,1,31,10,2,60,15,3,31,1,4,100,5, 
10,5,6,8,0,32,160,0,95,32,1,62,31,2,62,30,3,46,26,4,100,39, 
10,5,6,8,0,22,110,0,45,8,1,63,7,2,55,0,3,63,5,4,100,17, 
10,5,6,7,1,34,167,0,79,17,1,100,35,2,83,15,3,54,11,4,99,15, 
10,5,6,9,0,27,135,0,60,10,1,11,0,2,11,0,3,11,0,4,100,0, 
10,5,6,8,0,46,230,0,88,12,1,98,13,2,59,16,3,81,8,4,100,2, 
10,5,6,8,1,24,120,0,21,0,1,15,0,2,29,0,3,50,6,4,100,11, 
10,5,6,9,0,50,248,0,57,15,1,94,21,2,100,50,3,84,29,4,87,22, 
10,5,6,9,0,42,206,0,100,26,1,91,21,2,80,16,3,90,15,4,94,27, 
10,5,6,8,0,31,154,0,60,15,1,41,0,2,50,10,3,100,23,4,82,34, 
10,5,6,8,0,41,203,0,84,31,1,98,33,2,100,20,3,76,34,4,72,27, 
10,5,6,9,0,20,97,0,36,5,1,100,17,2,72,20,3,55,22,4,60,28, 
10,5,6,9,0,25,122,0,49,24,1,100,29,2,34,2,3,29,5,4,73,19, 
10,5,6,9,0,42,208,0,81,17,1,99,10,2,100,6,3,76,3,4,94,29, 
10,5,6,10,0,33,161,0,100,29,1,31,22,2,91,10,3,50,0,4,40,0, 
10,5,6,9,0,26,128,0,21,0,1,50,22,2,100,8,3,29,27,4,37,15, 
10,5,6,9,0,67,334,0,69,27,1,97,27,2,93,35,3,100,29,4,79,31, 
10,5,6,10,0,34,166,0,100,16,1,92,26,2,73,16,3,57,16,4,95,41, 
10,5,6,9,0,40,200,0,73,7,1,77,22,2,73,17,3,51,9,4,100,29, 
10,5,6,9,0,40,198,0,98,38,1,59,9,2,100,26,3,26,0,4,80,10, 
10,5,6,9,0,35,174,0,75,15,1,79,10,2,41,9,3,100,16,4,79,18, 
10,5,6,9,0,30,146,0,100,26,1,89,13,2,85,10,3,69,11,4,87,41, 
10,5,6,9,0,42,209,0,89,10,1,95,23,2,72,26,3,100,16,4,70,29, 
