30, 10, 6, 19, 1, 2061, 0, 900, 236, 1, 880, 190, 2, 804, 182, 3, 719, 182, 4, 751, 216, 5, 822, 184, 6, 768, 225, 7, 854, 177, 8, 809, 209, 9, 794, 222, 
40, 10, 6, 21, 2, 4292, 0, 1551, 349, 1, 1600, 393, 2, 1318, 392, 3, 1552, 411, 4, 1409, 459, 5, 1598, 433, 6, 1465, 373, 7, 1589, 334, 8, 1558, 399, 9, 1582, 292, 
40, 10, 6, 22, 2, 3634, 0, 1499, 294, 1, 1433, 291, 2, 1477, 348, 3, 1600, 354, 4, 1435, 277, 5, 1575, 333, 6, 1428, 278, 7, 1239, 271, 8, 1418, 273, 9, 1573, 354, 
40, 10, 6, 22, 2, 3630, 0, 1516, 373, 1, 1311, 361, 2, 1443, 324, 3, 1323, 347, 4, 1445, 396, 5, 1390, 387, 6, 1445, 349, 7, 1444, 360, 8, 1454, 302, 9, 1600, 318, 
40, 10, 6, 19, 2, 3750, 0, 1427, 310, 1, 1444, 331, 2, 1495, 301, 3, 1467, 343, 4, 1432, 321, 5, 1354, 311, 6, 1505, 331, 7, 1478, 346, 8, 1320, 354, 9, 1600, 355, 
40, 10, 6, 19, 2, 3539, 0, 1359, 284, 1, 1576, 305, 2, 1529, 374, 3, 1456, 335, 4, 1455, 300, 5, 1449, 322, 6, 1486, 326, 7, 1368, 317, 8, 1600, 364, 9, 1399, 383, 
50, 10, 6, 18, 2, 6368, 0, 2444, 597, 1, 2378, 541, 2, 2173, 587, 3, 2369, 502, 4, 2484, 626, 5, 2497, 525, 6, 2342, 589, 7, 2500, 565, 8, 2421, 603, 9, 2294, 590, 
50, 10, 6, 24, 2, 6051, 0, 2500, 553, 1, 2341, 546, 2, 2447, 505, 3, 2266, 569, 4, 2375, 484, 5, 2167, 573, 6, 2427, 512, 7, 2400, 540, 8, 2404, 549, 9, 2399, 496, 
50, 10, 6, 19, 4, 5701, 0, 2500, 432, 1, 2209, 484, 2, 2057, 489, 3, 2374, 470, 4, 2334, 476, 5, 2370, 575, 6, 2079, 520, 7, 2000, 580, 8, 2368, 398, 9, 1948, 561, 
50, 10, 6, 19, 2, 5653, 0, 2210, 494, 1, 2139, 537, 2, 2500, 519, 3, 2176, 514, 4, 2498, 449, 5, 2140, 539, 6, 2322, 516, 7, 2162, 494, 8, 2097, 463, 9, 2321, 488, 
50, 10, 6, 20, 2, 5989, 0, 2364, 495, 1, 2391, 530, 2, 2354, 609, 3, 2285, 584, 4, 2401, 545, 5, 2385, 563, 6, 2402, 464, 7, 2201, 580, 8, 2500, 624, 9, 2432, 550, 
60, 10, 6, 20, 7, 8764, 0, 3383, 720, 1, 3321, 807, 2, 3326, 761, 3, 3600, 773, 4, 3394, 720, 5, 3229, 834, 6, 2918, 853, 7, 3382, 694, 8, 3108, 799, 9, 3362, 847, 
