,,,,,Turn,,,,,,,,,,,,,,,,
10,5,20,8,1,15,0,22,0,1,35,18,2,100,33,3,55,21,4,41,10, 
10,5,20,9,0,44,0,97,5,1,100,14,2,99,0,3,98,0,4,99,25, 
10,5,20,8,0,25,0,84,18,1,18,0,2,100,5,3,18,0,4,15,8, 
10,5,20,8,0,18,0,90,20,1,99,18,2,95,17,3,100,50,4,98,38, 
10,5,20,8,0,9,0,59,5,1,49,15,2,100,28,3,21,5,4,21,0, 
10,5,20,8,0,6,0,31,15,1,36,0,2,100,0,3,44,5,4,67,11, 
10,5,20,8,0,15,0,98,10,1,100,22,2,90,10,3,2,0,4,38,4, 
10,5,20,8,0,10,0,100,17,1,47,0,2,6,0,3,13,0,4,89,28, 
10,5,20,9,0,13,0,100,28,1,38,0,2,97,5,3,89,11,4,74,32, 
10,5,20,9,0,34,0,99,9,1,43,5,2,99,20,3,100,14,4,53,0, 
10,5,20,9,0,33,0,97,50,1,50,5,2,100,13,3,97,34,4,98,47, 
10,5,20,9,0,8,0,18,0,1,100,17,2,34,0,3,62,6,4,67,16, 
10,5,20,9,0,16,0,93,2,1,80,16,2,100,37,3,44,17,4,96,63, 
10,5,20,8,0,16,0,53,4,1,97,10,2,100,0,3,33,5,4,58,5, 
10,5,20,8,0,26,0,16,0,1,16,0,2,99,23,3,24,0,4,100,86, 
10,5,20,8,0,13,0,93,25,1,96,23,2,17,0,3,40,5,4,100,3, 
10,5,20,9,0,26,0,100,30,1,45,0,2,99,27,3,53,0,4,43,5, 
10,5,20,7,0,11,0,78,19,1,96,36,2,97,0,3,100,10,4,18,0, 
10,5,20,7,0,13,0,100,10,1,19,0,2,99,46,3,97,30,4,28,0, 
10,5,20,8,0,21,0,99,5,1,29,0,2,35,5,3,94,23,4,100,5, 
10,5,20,9,0,22,0,45,19,1,99,140,2,95,45,3,100,37,4,95,49, 
10,5,20,9,0,16,0,69,0,1,27,40,2,31,27,3,51,38,4,100,36, 
10,5,20,8,0,12,0,9,0,1,2,0,2,29,0,3,9,0,4,100,33, 
10,5,20,8,0,21,0,47,15,1,100,34,2,19,0,3,45,19,4,19,0, 
10,5,20,9,0,14,0,81,42,1,60,5,2,57,22,3,87,5,4,100,15, 
10,5,20,8,0,13,0,100,23,1,59,18,2,30,4,3,26,5,4,13,0, 
10,5,20,8,0,26,0,97,49,1,96,0,2,44,18,3,100,10,4,55,0, 
10,5,20,8,0,13,0,99,10,1,98,10,2,7,0,3,96,28,4,100,10, 
10,5,20,9,0,8,0,72,25,1,100,27,2,43,25,3,30,0,4,30,0, 
10,5,20,8,0,21,0,47,2,1,100,39,2,96,45,3,55,5,4,44,10, 
10,5,20,8,0,21,0,97,0,1,97,31,2,100,5,3,55,0,4,97,25, 
10,5,20,8,0,25,0,100,0,1,97,0,2,60,14,3,99,15,4,6,0, 
10,5,20,8,0,11,0,100,5,1,99,5,2,63,10,3,15,0,4,41,6, 
10,5,20,9,0,20,0,100,14,1,98,5,2,57,0,3,93,5,4,57,0, 
10,5,20,9,0,36,0,90,29,1,96,25,2,95,49,3,94,58,4,100,25, 
10,5,20,9,0,11,0,7,0,1,92,10,2,83,15,3,100,11,4,20,0, 
10,5,20,9,0,13,0,99,10,1,100,45,2,8,5,3,37,0,4,6,0, 
10,5,20,8,0,19,0,100,74,1,99,44,2,98,18,3,72,5,4,48,16, 
10,5,20,9,0,16,0,99,30,1,93,45,2,100,17,3,52,5,4,57,5, 
10,5,20,9,0,9,0,89,31,1,68,5,2,100,6,3,57,0,4,96,12, 
10,5,20,8,0,32,0,100,74,1,99,56,2,26,0,3,26,0,4,96,55, 
10,5,20,7,0,28,0,69,10,1,13,5,2,96,73,3,100,10,4,99,21, 
10,5,20,8,0,24,0,91,8,1,99,38,2,26,7,3,72,36,4,100,23, 
10,5,20,9,0,9,0,52,18,1,67,23,2,39,18,3,100,0,4,23,6, 
10,5,20,8,0,10,0,73,12,1,50,15,2,100,25,3,87,0,4,18,0, 
10,5,20,8,0,16,0,61,5,1,44,0,2,32,0,3,100,11,4,32,0, 
10,5,20,8,0,17,0,91,5,1,27,0,2,18,0,3,100,30,4,23,0, 
10,5,20,8,1,21,0,96,47,1,78,21,2,100,26,3,16,0,4,71,21, 
10,5,20,8,0,10,0,50,5,1,100,21,2,37,0,3,35,12,4,48,4, 
10,5,20,8,0,19,0,100,22,1,20,0,2,27,0,3,99,18,4,3,0, 
10,5,20,8,0,10,0,20,0,1,100,0,2,47,23,3,94,0,4,54,0, 
10,5,20,8,0,22,0,96,39,1,98,33,2,100,10,3,99,0,4,18,0, 
10,5,20,8,0,14,0,19,4,1,45,0,2,100,5,3,97,0,4,10,5, 
10,5,20,8,0,14,0,100,69,1,4,5,2,49,4,3,22,5,4,49,0, 
